Les étudiant(e)s d'informatiques face à la situation sanitaire																																				
Détails de la soumission																																				
Séquentiel	Vous êtes 	En quelle année êtes-vous ?	Dans quelle filière étudiez-vous ?	Vous sentez-vous épanoui(e) dans vos études ?	Avez-vous ressenti une baisse de motivation au cours de ces derniers mois ?	Avez-vous ressenti l'envie d'arrêter vos études? 	Avez-vous consulté un(e) psychologue ou un(e) psychiatre suite à des difficultés liées à la situation sanitaire ?	Si vous-même demain, étiez concerné(e) par l’apparition d’un trouble mental, et que vous ressentiez le besoin de consulter et d’être pris(e) en charge, sauriez-vous à qui vous adresser ?	Vous sentez-vous isolé(e) socialement ?	Selon vous, le bien-être des étudiant(e)s est-il mis de côté ? 	Un sentiment de nervosité, d’anxiété ou de tension	Une tendance à être facilement contrarié(e) ou irritable	Des difficultés à se détendre	Une inquiétude excessive à propos de différentes choses	Une incapacité à arrêter de s’inquiéter ou à contrôler ses inquiétudes	Une agitation telle qu’il est difficile de tenir en place	Un sentiment de peur comme si quelque chose de terrible risquait de se produire	Vous sentir fatigué(e) ou avoir peu d’énergie 	Difficultés à vous endormir, à rester endormi ou trop dormir	Vous sentir triste, déprimé(e) ou désespéré(e)	Avoir peu d'appétit ou trop d'appétit	Peu d'intérêt ou de plaisir à faire les choses	Mauvaise perception de vous-même, vous pensez que vous êtes un(e) perdant(e) ou que vous n'avez pas satisfait vos propres attentes ou celles de votre famille	Difficultés à vous concentrer sur des choses telles que lire le journal ou regarder la télévision	Vous bougez ou vous parlez si lentement que les autres personnes ont pu le remarquer. Ou, au contraire, vous êtes si agité(e) que vous bougez beaucoup plus que d'habitude	Vous avez pensé que vous seriez mieux mort(e) ou vous avez pensé à vous blesser d'une façon ou d'une autre	Considérez-vous que les modalités d’enseignement actuelles permettent une formation correcte ?	Des remarques par rapport aux méthodes d'enseignement actuelles ?	Des pistes pour l'amélioration des méthodes d'enseignement ?	Etes-vous favorable à une réouverture des facultés et des amphithéâtres ?	Si les facs réouvraient 1 jour par semaine, seriez-vous en mesure de vous rendre en cours en présentiel ? 	Avez-vous dû changer de logement à cause de la situation sanitaire ?	Vous pouvez nous écrire un témoignage concernant votre logement ici	Avez-vous bénéficié d'une aide alimentaire avant le premier confinement ?	Avez-vous eu besoin d'une aide alimentaire depuis le début de la crise sanitaire ?	Si vous souhaitez nous laisser un petit mot ou témoigner de votre situation pour que l'on puisse le remonter aux enseignant(e)s, c'est ici :
67	Un homme	M1	Informatique	1	Oui beaucoup	Oui	Non	Non, pas du tout	Oui plutôt	Non pas trop	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Oui plutôt	très difficile de suivre les cours de mathématiques à distance, mais pour le reste c'est plutôt bien.	pour certains, mettre les pdfs ou les slides du cours serait vraiment un plus, on a parfois pas le choix de louper un cours, et c'est assez difficile de rattraper.	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Non		Non	Non	"Je tiens d'abord à remercier les enseignants pour les efforts qu'ils effectuent. On est tous dans le même bateau, et beaucoup ont tendance à l'oublier. 
Pour ma part, j'ai une situation familiale assez difficile, des tensions tous les jours, et des pressions qui m'empêchent de pouvoir travailler autant que je le souhaiterais. Cette situation affecte aussi beaucoup mon moral et la situation sanitaire n'aide pas beaucoup.. "
68	Un homme	L3	Informatique	5	Oui un peu	Non	Non	Oui, tout à fait	Oui plutôt	Oui beaucoup	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Non pas trop	"Tout ce que je sais, c'est que l'UFR d'info fait vraiment de son mieux, et ce n'est pas si mal contrairement à d'autres UFR mais il ne faut pas nier que les étudiants ne sont pas dans les meilleurs conditions et nous avons des doutes sur si nous avons vraiment acquis les compétences.
Honnêtement je ne sais pas si on peut faire mieux logistiquement en distanciel..."	Je n'ai pas d'idée, j'ai juste l'impression que nbous devons faire plus avec les vidéos pour s'en sortir.	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non	Un studio avec de la famille derrière.	Non	Non	Courage à tous et j'espère que ce formulaire ouvrira plus d'échange entre enseignant(e)s et étudiant(e)s.
69	Une femme	L2	Informatique	3	Oui un peu	Non	Non	Non, pas du tout	Oui beaucoup	Oui plutôt	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Oui plutôt			Non	Non	Oui une fois	J'ai dû rentrer a l'étranger chez ma famille car je n'ai pas pu trouver un job à cause de covid et je n'avais plus d'argent pour ma vie quotidienne en France	Non	Oui	
70	Une femme	L1	Informatique	2	Oui beaucoup	Oui	Non	Non, plutot pas	Oui plutôt	Oui plutôt	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Non pas trop	Je sais que les cours à la fac sont censés être moins encadrés, mais là on dirait presqu'on ne l'est pas du tout.	"La reprise du présentiel dans la mesure du possible, et plus de dispositifs pour ""motiver"" à travailler comme des exercices en ligne (pas forcément noté et sur la base du volontariat).
"	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
71	Une femme	L3	Informatique	4	Oui un peu	Non	Non	Non, pas du tout	Non pas trop	Oui plutôt	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Non		Non	Non	
72	Un homme	L2	Informatique	4	Oui un peu	Non	Non	Oui, à peu près	Non pas du tout	Ne souhaite pas répondre	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Non pas trop	"Le distanciel c'est bien pour ma part ça m'évite de perdre deux heures de travaille (en allant à la fac et retournant chez moi), mais je trouve que les cours sont lent et qu'il manque de documentation, de préparation, notamment pour les td par exemple le prof pourrait préparer un pdf que l'on pourrai voir pendant le cours (ce qui est vraiment plus simple que d'écrire sur un ""whiteboard"" durant le cours)"	Voir ci-dessus	Ne souhaite pas répondre	Oui	Non		Non	Non	Pour les partiels et les examens, je préfère les faire sur place, ayant des problèmes de connexion internet (de temps en temps), je souhaiterai éviter de faire ces épreuves chez moi.
73	Une femme	M1	Informatique	2	Oui un peu	Non	Non	Oui, à peu près	Non pas du tout	Oui beaucoup	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Non	Non		Non	Non	
74	Un homme	L3	Informatique	2	Oui beaucoup	Oui	Non	Non, plutot pas	Oui plutôt	Ne souhaite pas répondre	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Ne souhaite pas répondre	Plus de la moitié du temps	Ne souhaite pas répondre	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Non pas du tout	Les méthodes universitaires en général sont déjà plutôt médiocres je trouve (amphis inutiles car beaucoup d'informations à assimiler mais avec une pratique en TP décalée/insuffisante/pas assez encadrée/à la va vite/tardive entraînant oublis...) mais avec le distantiel c'est encore plus complexe pour tout le monde, les cours sont parfois condensés et donc le débit d'information est encore plus élevé et avec une pratique encore plus mauvaise car pas dans de bonnes conditions chez nous ou bien pédagogiquement parlant mauvaise (bien entendu c'est difficile pour tout le monde et ce dernier point ne vise personne à part le virus bien sûr)	C'est compliqué malheureusement, personnellement chez moi c'est très difficile d'être vraiment concentré je préférerai du présentiel pour être concentré parfaitement sur le travail mais bien sûr c'est probablement impossible. Au mieux il faudrait au moins améliorer l'encadrement en TD/TP je pense.	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non	Logement familial aucun problème de ce côté personnellement 	Non	Non	J'ai du mal à me projeter sur le futur, je suis en informatique mais je n'ai aucune idée de quoi faire plus tard et on est malheureusement pas très aidé. En l'état rien n'a l'air de vraiment me passionner, j'hésite à abandonner et reprendre une L1 dans une toute autre filière mais aller ou telle est la question. J'aimerai aussi préciser que c'est vraiment les cours qui me semblaient abstraits, sans intérêts qui me donnent envie de quitter la licence d'informatique, je suis venu avec beaucoup de doutes mais comme tout allait plutôt bien je les ai ignoré mais depuis un moment ces doutes reviennent et sont bien présents j'aimerai vraiment me sentir à l'écoute, me dire que ça va aller que je vais trouver quelque chose que j'aime faire mais non ça ne va pas et nous ne sommes pas très éclairés sur la valeur de nos connaissances et le futur.
75	Un homme	L3	Informatique	3	Oui un peu	Oui	Non	Oui, à peu près	Non pas du tout	Oui plutôt	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
76	Un homme	L2	Informatique	3	Oui beaucoup	Non	Non	Non, plutot pas	Oui plutôt	Oui beaucoup	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Oui une fois		Non	Ne souhaite pas répondre	
77	Un homme	L2	Informatique	4	Oui beaucoup	Non	Non	Oui, à peu près	Oui plutôt	Oui beaucoup	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Jamais	Jamais	Plusieurs jours	Non pas trop	On sent un effort côté enseignants, plus d'intérêt pour nous, mais personnellement je ne pense pas qu'ils puissent y faire grand chose. Je pense qu'un retour en présentiel est trop important. Je prefere prendre le risque d'être contaminé que de rester la fin de ma licence enfermé.	"Nous avons eu un cours d'un professeur qui était à la fac (il pensait en fait que le cours était en présentiel). 
Ca m'a donné l'idée qu'on pourrait faire un système comme ""les personnes volontaires vont à la fac pour les cours (avec une attestation spéciale (comme dans les lycées en fait simplement) qui dit de quelle heure à quelle heure on peut y aller ?
Si il faut plus, on peut faire un système d'inscriptions aux cours avec une limite présentielle. 
Exemple : Pour les cours de la semaine on s'inscrit, le week-end, à 4 cours max ou simplement à une journée par semaine. Premier arrivé premier servi. Ca permettrait de limiter les inscriptions et donc savoir combien de personnes sont au cours (et qui au passage). On limite ainsi les clusters et on permet un minimum de social/bon enseignement. Ca permet aussi de choisir les cours où on est en difficulté par exemple.
Je pense que ce système est largement faisable. Il faut juste de l'organisation.
(après je ne dit pas non à une ouverture totale de la fac)"	Oui pour la totalité des cours	Oui	Non	Je suis dans un petit appartement et je suis très souvent enfermé dans ma chambre qui est du côté le moins lumineux de l'immeuble et c'est assez souvent peu agréable. Je profite de sortir un maximum, mais ce n'est pas toujours évident et la motivation n'y est pas non plus.	Non	Non	"Personnellement je ne suis pas en difficulté particulière, j'ai à mangé comme il faut, j'ai tout ce qu'il faut pour vivre, mais la fac me tient vraiment à cœur et c'est sincèrement déprimant d'avoir tous ses rêves qui s'effacent sans pouvoir y faire grand-chose.
Par contre j'ai vécu un premier confinement horrible (perte de 13kg, dépression, insomnie) et je sais que je ne suis pas le seul."
78	Un homme	L3	Informatique	3	Oui un peu	Non	Non	Non, pas du tout	Non pas trop	Oui plutôt	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Presque tous les jours	Plus de la moitié du temps	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Oui	Non	
79	Un homme	L1	Informatique	3	Oui beaucoup	Non	Non	Non, plutot pas	Non pas trop	Oui plutôt	Plusieurs jours	Jamais	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Plus de la moitié du temps	Plusieurs jours	Jamais	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Jamais	Jamais	Non pas du tout			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Non	Non		Non	Non	
80	Une personne non-binaire	L3	Informatique	4	Oui un peu	Non	Oui	Non, plutot pas	Non pas du tout	Oui plutôt	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Non	Non		Non	Non	
81	Un homme	M1	Informatique	4	Oui beaucoup	Non	Non	Oui, tout à fait	Non pas du tout	Ne souhaite pas répondre	Presque tous les jours	Jamais	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Presque tous les jours	Plusieurs jours	Jamais	Plusieurs jours	Oui plutôt			Ne souhaite pas répondre	Oui	Non		Non	Non	
82	Un homme	L3	Informatique	2	Oui beaucoup	Oui	Non	Non, pas du tout	Oui beaucoup	Oui beaucoup	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Non pas du tout			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Oui une fois		Non	Oui	
83	Un homme	M2	Informatique	3	Oui un peu	Oui	Non	Non, pas du tout	Non pas du tout	Non pas du tout	Jamais	Jamais	Jamais	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Ne souhaite pas répondre	Ne souhaite pas répondre	Jamais	Jamais	Ne souhaite pas répondre	Ne souhaite pas répondre	Jamais	Plus de la moitié du temps	Ne souhaite pas répondre	Jamais	Oui plutôt	Certains prof ne font pas d'effort face a cette situation 		Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Ne souhaites pas répondre	Ne souhaite pas répondre	
84	Un homme	L3	Mathématique-Informatique	5	Oui un peu	Non	Non	Oui, à peu près	Non pas trop	Oui beaucoup	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Jamais	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Non pas trop	Peu d'intercation.	Faire des cours plus interactif avec par exemples des sondages, questions destiné à une seule personne en TD (sans pression en cas de non réponse bien sûr)	Oui pour la totalité des cours	Oui	Non	Dispute familiale fréquente durant les cours, rendant parfois impossible la participation oral	Non	Non	
85	Un homme	L1	Informatique	5	Non	Non	Non	Non, pas du tout	Non pas du tout	Non pas du tout	Jamais	Jamais	Plus de la moitié du temps	Plusieurs jours	Jamais	Presque tous les jours	Jamais	Presque tous les jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Jamais	Ne souhaite pas répondre	Jamais	Jamais	Oui plutôt			Non	Ne sait pas encore	Non		Non	Non	
86	Un homme	M1	Informatique	2	Oui beaucoup	Non	Non	Oui, à peu près	Oui plutôt	Oui plutôt	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Jamais	Jamais	Jamais	Non pas trop	Je ne pense pas que mettre des matieres en notation 100% exam (protocoles réseau) soit souhaitable.		Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	"Je ne pense pas que la situation des étudiants soit prise en compte par les profs. Pour eux c'est plutot des sortes de ""vacances"" pour nous. Aucune prise en compte de la situation sociale et psy des etudiants."
87	Un homme	L3	Informatique	4	Oui un peu	Non	Non	Oui, à peu près	Oui plutôt	Oui plutôt	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
88	Une femme	L1	Informatique	3	Non	Non	Non	Non, pas du tout	Oui beaucoup	Non pas trop	Jamais	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Presque tous les jours	Plus de la moitié du temps	Jamais	Non pas trop			Oui pour la totalité des cours	Oui	Non		Non	Oui	
89	Une femme	L3	double licence mathématiques-informatique	3	Oui beaucoup	Oui	Non	Non, plutot pas	Oui plutôt	Oui plutôt	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Jamais	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Presque tous les jours	Plusieurs jours	Jamais	Jamais	Jamais	Non pas trop		Il est nécessaire que certains professeurs fassent un plus grand effort de communication et d'interaction avec les eleves, surtout pendant les td et tp, afin de soliciter les élèves a participer et donc mieux suivre	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Non		Non	Non	
90	Un homme	M1	Informatique	4	Oui beaucoup	Non	Non	Non, pas du tout	Oui beaucoup	Oui beaucoup	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Plusieurs jours	Jamais	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Oui plutôt			Oui pour la totalité des cours	Oui	Non		Non	Non	
91	Un homme	M1	Informatique	2	Oui beaucoup	Oui	Non	Oui, à peu près	Non pas du tout	Oui plutôt	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Plus de la moitié du temps	Jamais	Jamais	Jamais	Jamais	Non pas trop	Problème de stabilité au niveau des mesurés prises par le gouvernement		Non	Non	Non		Non	Non	
92	Un homme	L1	Maths-informatique	4	Oui beaucoup	Non	Oui	Non, plutot pas	Oui beaucoup	Oui beaucoup	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Non pas trop	On a nos TD en presentiel et des amphis 30 minutes après la fin, j’ai la chance d’habiter Porte de Vitry mais presque personne n’est à l’aise avec tout ça...		Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Non	Je n’ai pas voulu changer de logement, j’ai eu suffisamment de mal cet été pour en trouver un	Non	Non	
93	Un homme	L1	Informatique	3	Oui beaucoup	Oui	Non	Oui, à peu près	Oui beaucoup	Oui plutôt	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Jamais	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Jamais	Plusieurs jours	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
94	Un homme	M1	Informatique	4	Oui beaucoup	Oui	Non	Oui, à peu près	Oui beaucoup	Oui beaucoup	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	"C'est très difficile, vous n'y êtes pour rien.

Je ne vois pas ce que les enseignants pourraient faire de plus."
95	Une femme	L1	Informatique	2	Oui beaucoup	Oui	Ne souhaite pas répondre	Ne souhaite pas répondre	Oui plutôt	Oui beaucoup	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Ne souhaites pas répondre	Ne souhaite pas répondre	
96	Une femme	L1	Informatique	3	Oui beaucoup	Non	Non	Non, plutot pas	Oui plutôt	Oui beaucoup	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Jamais	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Non pas du tout	les cours en distanciel sont fastidieux. Ils sont lents et on apprend pas grand chose.	les vidéos capsules sont mieux que les vidéos en direct. On peut apprendre à notre rythme (plus vite ou moins vite).	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non	je vis avec mes parents.	Non	Non	J'aimerai que tous les cours soient enregistrés. Je rencontre parfois des problèmes de connexion. Ce qui fait que je manque une partie des cours.
97	Un homme	L1	mi	5	Oui un peu	Non	Non	Non, plutot pas	Non pas trop	Non pas trop	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Non pas trop	C’est plutôt chiant d’avoir une partie des cours en présentiel et l’autre en distantiel car venir à la fac que pour deux heures ensuite se dépêcher de rentrer chez soi pour suivre le cours en ligne c’est casse couilles.	Retravailler sur l’emploi du temps des l1.	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
98	Une femme	L2	Informatique	3	Oui beaucoup	Oui	Non	Oui, à peu près	Oui beaucoup	Oui beaucoup	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Plusieurs jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Plusieurs jours	Plusieurs jours	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
99	Un homme	M2	Informatique	4	Oui un peu	Non	Non	Non, pas du tout	Oui plutôt	Oui plutôt	Presque tous les jours	Jamais	Presque tous les jours	Presque tous les jours	Presque tous les jours	Jamais	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Presque tous les jours	Jamais	Jamais	Ne souhaite pas répondre	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
100	Une femme	L1	Informatique	2	Oui beaucoup	Oui	Non	Oui, à peu près	Ne souhaite pas répondre	Oui beaucoup	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Ne souhaite pas répondre	Ne souhaite pas répondre	Plusieurs jours	Jamais	Jamais	Non pas du tout			Oui pour la totalité des cours	Oui	Non		Non	Non	
101	Un homme	M2	Informatique	1	Oui beaucoup	Oui	Non	Oui, tout à fait	Oui plutôt	Non pas trop	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Presque tous les jours	Presque tous les jours	Jamais	Jamais	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
102	Un homme	M2	Informatique	3	Oui beaucoup	Non	Non	Non, plutot pas	Oui plutôt	Oui plutôt	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Ne souhaite pas répondre	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Jamais	Jamais	Jamais	Plusieurs jours	Non pas du tout			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
103	Un homme	M2	Informatique	1	Oui beaucoup	Oui	Non	Non, plutot pas	Oui beaucoup	Oui beaucoup	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Jamais	Plus de la moitié du temps	Presque tous les jours	Jamais	Non pas du tout	"Contraintes de choix d'enseignements incohérent par rapport au domaine de formations. Modalités de validation tyrannique au vu de la période du cycle d'étude ( période de recherche active de stage).
Incompréhension du discours des responsable de d'enseignement et forte inactivité de ceux-ci dans la direction et l'organisation de leurs parcours d'enseignement. "	"Avoir des référents d'enseignement spécifique à leurs fonctions de référents, qui n'ont pas une cinquantaine de rôle au sein de leur UFR. De sorte qu'ils ne puissent pas se terrer dérrières des activités tierces pour s'excuser de leur manque d'implication sur d'autres.
Par rapport aux méthodes d'enseignements en tant que telles, la surcharge hebdomadaire de travail suite à l'apparition miraculeuse du Contrôle Continue (uniquement dû au contexte sanitaire) est totalement mal gérée et efface de manière unilatérale le temps temps d'accès à toutes activités extra-scolaire ou autre."	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
